feature name,raster name,raster group,band description,year,period,feature_area_ha,valid_pixel_area_ha,min,max,std,mean,p1,p5,p10,p25,p75,p90,p95,p99
IWT and Darwin innovation project,eii_soknot_ts_2000,unknown,comp,unknown,unknown,96800.3271,96538.05006,0.236793369,0.985668957,0.132956609,0.524629831,0.417703738,0.447314635,0.457843834,0.468598381,0.484079227,0.649294877,0.959065926,0.981368618
FLR - Amboseli,eii_soknot_ts_2000,unknown,comp,unknown,unknown,25138.82358,25144.9445,0.192991182,0.753266931,0.122729659,0.488252223,0.222783915,0.251525271,0.286096305,0.43779397,0.616624713,0.639688587,0.653471065,0.743815563
Siana Dispersal Area - More Space 4 Wildlife,eii_soknot_ts_2000,unknown,comp,unknown,unknown,64548.62886,63960.00828,0.416244715,0.979878902,0.099458888,0.498341918,0.436123484,0.459260315,0.463786185,0.468616903,0.481984645,0.492648959,0.741789758,0.973222613
OTTO - Support to Nasaru Conservancy,eii_soknot_ts_2000,unknown,comp,unknown,unknown,69697.25079,69332.78251,0.290219754,0.97440052,0.059619065,0.474962413,0.425081275,0.437202835,0.444345492,0.458120197,0.483592778,0.494617069,0.502951932,0.963814838
Land for Life,eii_soknot_ts_2000,unknown,comp,unknown,unknown,886805.3359,887395.6172,0.158315673,1,0.207620814,0.582174301,0.418926477,0.448399991,0.456702143,0.465884507,0.501699388,0.979327798,0.983209908,0.987281477
Pachyderm,eii_soknot_ts_2000,unknown,comp,unknown,unknown,807810.2672,808856.2193,0.004890621,1,0.202104092,0.8704108,0.428310126,0.446254671,0.465204418,0.954017162,0.984734833,0.98959589,0.991474628,0.993064284
MRC/MWCP,eii_soknot_ts_2000,unknown,comp,unknown,unknown,428082.6303,428429.7138,0.18942146,1,0.174647957,0.614636898,0.243673711,0.411198056,0.45444243,0.539649308,0.660611689,0.95819217,0.967646891,0.973517427
Harmony in Habitat (HIH) - Tsavo,eii_soknot_ts_2000,unknown,comp,unknown,unknown,660185.7824,660328.5369,0.234991342,0.999878705,0.268910468,0.751152396,0.390166646,0.393734032,0.397265756,0.439186648,0.986954868,0.993464899,0.995785517,0.99919273
"BMZ II (Olgulului GR, Kimana GR, Kimana - Nolturesh",eii_soknot_ts_2000,unknown,comp,unknown,unknown,308640.3885,309255.9271,0.173156857,0.987830579,0.064184934,0.465565145,0.239258447,0.401024342,0.416036516,0.448551029,0.477881879,0.497853339,0.617122829,0.653442359
Harmony in Habitat (HIH) - Mau,eii_soknot_ts_2000,unknown,comp,unknown,unknown,168550.7956,168973.7185,0.502266586,1,0.13350834,0.876754582,0.611435011,0.630444199,0.646043152,0.808179349,0.975249976,0.984501809,0.988400385,1
BMZ II (TZ),eii_soknot_ts_2000,unknown,comp,unknown,unknown,254278.8993,254343.8999,0.004890621,1,0.227573901,0.754151344,0.365718669,0.450693005,0.461157566,0.536514312,0.974976569,0.981355309,0.984227884,0.988524701
REDAA,eii_soknot_ts_2000,unknown,comp,unknown,unknown,99249.12992,99232.0383,0.408942044,0.671369076,0.016076863,0.475390315,0.457517754,0.466535634,0.469014692,0.47147271,0.477333874,0.478989822,0.480273235,0.484395913
